GEOID,dist_type,store_rowid_p,dist,row,duration,mb_rank
13063040419,D4,8,25147.19733359325,904,28.364866666666668,MB4
13063040419,D5,72,35290.42413291492,905,37.727516666666666,MB5
13063040420,D1,54,19996.15873385739,4761,27.1878,MB1
13063040420,D3,9,25013.703296901258,4763,27.243100000000002,MB2
13063040420,D4,8,27922.07058725552,4764,33.56555,MB3
13063040420,D2,10,23195.125301564352,4762,33.93216666666667,MB4
13063040420,D5,38,31940.378843858427,4765,39.87781666666667,MB5
13063040421,D1,54,20012.864232133816,3666,24.998800000000003,MB1
13063040421,D3,9,25887.67764488061,3668,25.054100000000002,MB2
13063040421,D4,8,26754.094249546764,3669,30.702316666666665,MB3
13063040421,D2,10,21419.145713140675,3667,31.068933333333334,MB4
13063040421,D5,118,30489.433483185385,3670,39.737899999999996,MB5
13063040422,D1,54,12064.303129519634,3681,20.906683333333334,MB1
13063040422,D2,9,15358.997393284744,3682,20.961983333333333,MB2
13063040422,D3,10,21586.474847427697,3683,26.425216666666664,MB3
13063040422,D4,8,23229.71128300483,3684,26.811633333333337,MB4
13063040422,D5,117,36769.003444648035,3685,43.94255,MB5
13063040423,D1,54,13964.195820455197,3671,20.403233333333333,MB1
13063040423,D2,9,16259.993107186972,3672,20.45855,MB2
13063040423,D3,10,23714.445279382286,3673,25.921783333333334,MB3
13063040423,D4,8,25394.402967651622,3674,26.3082,MB4
13063040423,D5,72,34847.7962211765,3675,39.07485,MB5
13063040424,D1,54,16917.513813200476,4771,23.105766666666668,MB1
13063040424,D2,9,20129.94392833834,4772,23.161066666666667,MB2
13063040424,D3,10,24294.46140131523,4773,28.6243,MB3
13063040424,D4,8,27213.28324835247,4774,29.010716666666667,MB4
13063040424,D5,72,32922.750987950414,4775,37.575916666666664,MB5
13063040425,D1,54,17189.50162141585,896,24.135833333333334,MB1
13063040425,D2,9,21218.063806900493,897,24.191133333333333,MB2
13063040425,D3,10,23239.94425977107,898,29.654366666666665,MB3
13063040425,D4,8,26713.411033673812,899,30.04078333333333,MB4
13063040425,D5,72,33688.56579543378,900,36.82483333333333,MB5
13063040426,D1,54,19041.726084827005,3701,25.2287,MB1
