services,store_url,store_name,stradd,city,state,lat,long
Tobaco,https://www.familydollar.com/locations/ga/augusta/21471/,FAMILY DOLLAR #1471,1991 Broad St,Augusta,GA,33.486466,-81.998371
Adult Beverage,https://www.familydollar.com/locations/ga/augusta/21471/,FAMILY DOLLAR #1471,1991 Broad St,Augusta,GA,33.486466,-81.998371
Tobaco,https://www.familydollar.com/locations/ga/augusta/23008/,FAMILY DOLLAR #3008,3258 Wrightsboro Rd,Augusta,GA,33.467071,-82.065353
Adult Beverage,https://www.familydollar.com/locations/ga/augusta/23008/,FAMILY DOLLAR #3008,3258 Wrightsboro Rd,Augusta,GA,33.467071,-82.065353
Tobaco,https://www.familydollar.com/locations/ga/augusta/23485/,FAMILY DOLLAR #3485,2716 Peach Orchard Rd,Augusta,GA,33.421332,-82.019099
Tobaco,https://www.familydollar.com/locations/ga/augusta/20374/,FAMILY DOLLAR #374,3352 Deans Bridge Road,Augusta,GA,33.418485,-82.078275
Tobaco,https://www.familydollar.com/locations/ga/augusta/23854/,FAMILY DOLLAR #3854,3447 Peach Orchard Rd,Augusta,GA,33.391399,-82.027694
Adult Beverage,https://www.familydollar.com/locations/ga/augusta/23854/,FAMILY DOLLAR #3854,3447 Peach Orchard Rd,Augusta,GA,33.391399,-82.027694
Tobaco,https://www.familydollar.com/locations/ga/augusta/24344/,FAMILY DOLLAR #4344,3709 Mike Padgett Highway,Augusta,GA,33.36740142,-81.9970012
Adult Beverage,https://www.familydollar.com/locations/ga/augusta/24344/,FAMILY DOLLAR #4344,3709 Mike Padgett Highway,Augusta,GA,33.36740142,-81.9970012
Propane,https://www.familydollar.com/locations/ga/augusta/24344/,FAMILY DOLLAR #4344,3709 Mike Padgett Highway,Augusta,GA,33.36740142,-81.9970012
Tobaco,https://www.familydollar.com/locations/ga/augusta/24402/,FAMILY DOLLAR #4402,1801 Central Ave,Augusta,GA,33.469295,-82.00172
Tobaco,https://www.familydollar.com/locations/ga/augusta/25438/,FAMILY DOLLAR #5438,825 Laney Walker Blvd,Augusta,GA,33.463838,-81.972245
Adult Beverage,https://www.familydollar.com/locations/ga/augusta/25438/,FAMILY DOLLAR #5438,825 Laney Walker Blvd,Augusta,GA,33.463838,-81.972245
